id,name,avg_resp_time,avg # comms per req,total pages,total requests,# awaiting response,# awaiting appeal,# fix required,# payment required,# rejected,# no responsive docs,# completed,# partially completed,# withdrawn
271,"Defense Advanced Research Projects Agency — DARPA, United States of America",91,10,123,25,2,0,1,0,0,3,2,0,0
272,"New York City Police Department, New York City, NY",122,8,5616,219,208,0,1,18,134,32,87,2,0
273,"NYC Department of Transportation, New York City, NY",167,7,1536,6,2,0,1,0,0,0,4,0,0
274,"Massachusetts State Police, Massachusetts",213,10,2084,115,49,18,24,19,17,9,25,4,0
275,"Board of Appeals, Boston, MA",0,46,0,1,0,0,0,0,0,0,0,0,0
276,"Metropolitan Transportation Authority (MTA), Headquarters, New York",62,5,1023,19,7,0,2,0,0,7,5,0,0
277,"City Clerk, Phoenix, AZ",6,2,15,3,0,0,0,0,0,1,1,0,0
278,"Office of the Governor - Arizona, Arizona",162,6,18,12,1,0,6,1,0,8,2,0,0
279,"University of Arizona, Arizona",103,8,50,3,1,0,0,0,0,0,0,0,0
280,"Navy Office of Information - West, United States of America",212,9,246,5,0,0,0,0,1,1,1,0,0
281,"Arizona State University, Arizona",68,7,249,6,3,0,0,0,0,0,1,0,0
282,"City of Benson, Benson, AZ",200,7,1,1,0,0,0,0,0,0,0,0,0
283,"Kentucky National Guard, United States of America",280,9,10,3,1,0,0,0,3,0,1,0,0
284,"Federal Emergency Management Agency, United States of America",683,19,758,33,54,4,20,0,3,11,10,2,0
285,"Town Manager, Cohasset, MA",64,5,7,1,0,0,0,0,0,0,0,0,0
287,"Office of Government Information Services, United States of America",22,4,18,5,0,0,2,0,0,1,1,0,0
288,"USDA Farm Services Agency, United States of America",79,5,2,3,0,0,1,1,1,0,1,0,0
289,"Department of Public Health, King County, WA",1,3,3,1,0,0,0,0,0,0,0,0,0
290,"Judicial Branch, Connecticut",0,4,13,6,4,0,2,1,0,0,0,0,0
291,"Parking Administration, San Diego, CA",38,8,0,1,0,0,0,0,0,0,1,0,0
292,"Police Department, Oakland, CA",42,4,9,6,2,0,0,0,0,1,0,0,0
293,"Office of the Governor - California, California",61,3,58,16,1,0,1,0,1,3,1,0,0
294,"Mayor's Office, Los Angeles, CA",230,16,253,4,0,0,0,0,0,2,0,0,0
295,"Department of Justice, California",33,4,95,12,6,0,1,0,1,1,3,0,1
297,"Mayor's Office, Hartford, CT",134,7,2,2,0,0,0,0,0,0,1,0,0
298,"Mayor's Office, New Haven, CT",157,5,0,3,1,0,1,0,0,0,0,0,0
299,"Mayor's Office, Bridgeport, CT",128,12,1,2,9,0,0,0,0,1,0,0,0
300,"Mayor's Office, Danbury, CT",156,7,0,1,0,0,0,0,0,0,0,0,0
301,"Mayor's Office, New London, CT",0,3,0,1,0,0,0,0,0,0,0,0,0
303,"Mayor's Office, Miami, FL",170,11,0,1,0,0,0,0,0,0,0,0,0
304,"City Manager's Office, Fort Lauderdale, FL",0,0,0,0,0,0,0,0,0,0,0,0,0
305,"New Hampshire State Police, New Hampshire",45,7,39,9,6,0,0,0,0,3,3,0,0
306,"United States Army Recruiting Command, United States of America",421,12,14,4,1,0,4,0,0,0,1,0,0
307,"Framingham Police Department, Framingham, MA",27,3,2,2,0,0,0,0,0,2,0,0,0
308,"Office of the City Manager, Worcester, MA",0,1,0,1,0,0,0,0,0,0,0,0,0
309,"Boston Animal Control, Boston, MA",64,6,0,6,0,0,1,3,0,0,1,2,0
310,"Department of Correction, Massachusetts",82,7,24,15,3,0,5,0,1,0,7,0,0
312,"Department of Education, Arizona",0,12,0,3,0,0,1,0,0,0,0,0,0
313,"Department of Motor Vehicles, Washington (D.C), DC",20,2,6,5,0,0,0,0,0,2,0,0,0
314,"Public Works, Providence, RI",375,23,0,1,0,0,0,0,0,1,0,0,0
315,"Criminal Records, New York",24,2,41,4,1,0,0,0,3,0,0,0,0
316,"New York State Office of Court Administration, New York",6,2,0,4,0,0,0,0,1,1,0,0,0
317,"Providence Police Department, Providence, RI",94,8,85,7,0,0,1,0,0,0,1,0,0
318,"Rhode Island State Police, Rhode Island",40,5,611,13,2,0,4,5,2,3,8,0,0
321,"United States Military Academy, United States of America",261,11,1288,12,4,0,3,0,0,2,6,2,0
323,"Health Department, Somerville, MA",9,4,32,2,0,0,0,0,0,0,1,0,0
324,"Secretary of State, Arizona",28,4,45,5,0,0,1,0,0,0,3,0,0
325,"Santa Barbara City Attorney,  Santa Barbara, CA",0,0,0,0,0,0,0,0,0,0,0,0,0
326,"City Administrator,  Santa Barbara, CA",80,8,0,1,0,0,0,0,0,0,0,0,0
327,"Consumer Products Safety Commission, United States of America",252,10,5192,17,11,0,6,4,0,1,23,2,0
328,"INTERPOL Washington (U.S. National Central Bureau), United States of America",133,4,241,37,2,0,5,0,0,14,11,0,0
330,"Supervisor of Records, Massachusetts",41,5,43,7,0,0,1,0,0,2,1,0,0
331,"Department of Public Safety, Architectural Access Board, Massachusetts",15,6,17,5,1,0,1,0,0,1,0,0,0
332,"Office of Consumer Affairs and Business Regulation	Massachusetts, Consumer Assistance Unit, Massachusetts",35,10,156,1,0,0,2,0,0,0,1,0,0
333,"Arlington Police Department, Arlington, TX",102,12,622,4,5,0,1,1,0,1,10,0,0
334,"Department of Forestry & Fire Protection (CAL FIRE), California",73,5,1,1,0,0,0,0,0,0,0,0,0
335,"Herington City Manager, Herington, KS",4,4,0,2,0,0,0,0,0,0,0,0,0
336,"Police Department, Houston, TX",39,7,748,10,12,0,11,2,0,1,4,0,0
338,"Police Department, North Little Rock, AR",1,2,0,2,0,0,1,0,0,0,0,0,0
339,"Ypsilanti Police Department, Ypsilanti, MI",101,5,7,2,0,0,0,0,0,1,0,0,0
342,"Sheriff Department, Santa Clarita, CA",0,4,0,1,0,0,1,0,0,0,0,0,0
343,"Ventura County Sheriff's Department, Ventura County, CA",43,5,38,4,1,0,1,0,1,0,2,1,0
344,"Wichita Police Department, Wichita, KS",54,5,127,8,3,0,2,0,0,1,7,0,0
345,"Ventura Police Department, Ventura County, CA",318,20,120,2,0,0,0,0,0,1,0,0,0
346,"Manchester Center Police Department, Manchester Center, VT",9,2,0,2,0,0,0,0,0,1,0,0,0
347,"Oxnard Police Department, Oxnard, CA",0,63,0,2,0,0,0,0,0,0,0,0,0
