id,name,avg_resp_time,avg # comms per req,total pages,total requests,# awaiting response,# awaiting appeal,# fix required,# payment required,# rejected,# no responsive docs,# completed,# partially completed,# withdrawn
32039,"Abingdon, VA",0,0,0,0,0,0,0,0,0,0,0,0,0
7452,"Abingdon, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
252,"Abington, MA",39,5,3,10,0,0,0,2,1,2,1,0,0
11958,"Abington, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
28814,"Abington, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
13170,"Abington, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
16365,"Abita Springs, LA",0,0,0,0,0,0,0,0,0,0,0,0,0
12865,"Aboite, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
33248,"Abrams, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
6779,"Absecon, NJ",0,0,0,0,0,0,0,0,0,0,0,0,0
16071,"Acadia County, LA",0,0,0,0,0,0,0,0,0,0,0,0,0
16546,"Accident, MD",0,0,0,0,0,0,0,0,0,0,0,0,0
31863,"Accomac, VA",0,0,0,0,0,0,0,0,0,0,0,0,0
439,"Accomack County, VA",0,0,0,0,0,0,0,0,0,0,0,0,0
10851,"Acequia, ID",0,0,0,0,0,0,0,0,0,0,0,0,0
26693,"Achille, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
15409,"Achilles, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
30821,"Ackerly, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
19574,"Ackerman, MS",0,0,0,0,0,0,0,0,0,0,0,0,0
33158,"Ackley, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
13664,"Ackley, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
14139,"Ackworth, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
17546,"Acme, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
24450,"Acme, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
18714,"Acoma, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
6014,"Acton, ME",0,0,0,0,0,0,0,0,0,0,0,0,0
442,"Acton, MA",10,6,2,8,0,0,1,1,0,2,0,0,0
18793,"Acton, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
24978,"Acton, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
443,"Acushnet, MA",6,2,0,1,0,0,0,0,0,0,0,0,0
4990,"Acworth, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
3799,"Acworth, NH",0,0,0,0,0,0,0,0,0,0,0,0,0
1085,"Ada, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
27128,"Ada, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
29793,"Ada, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
17675,"Ada, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
25587,"Ada, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
24288,"Ada, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
10894,"Ada County, ID",19,3,30,2,1,0,0,0,0,0,3,0,0
26999,"Adair, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
7453,"Adair, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
13282,"Adair, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
19824,"Adair County, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
15537,"Adair County, KY",0,0,0,0,0,0,0,0,0,0,0,0,0
13187,"Adair County, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
26586,"Adair County, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
4991,"Adairsville, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
6519,"Adair Village, OR",0,0,0,0,0,0,0,0,0,0,0,0,0
15941,"Adairville, KY",0,0,0,0,0,0,0,0,0,0,0,0,0
9343,"Adak, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
11807,"Adams, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
20961,"Adams, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
26216,"Adams, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
6520,"Adams, OR",8,2,0,1,0,0,0,0,0,0,1,0,0
23969,"Adams, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
28511,"Adams, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
12866,"Adams, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
22478,"Adams, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
1086,"Adams, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
17325,"Adams, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
29536,"Adams, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
30529,"Adams, TN",0,0,0,0,0,0,0,0,0,0,0,0,0
8646,"Adams, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
21334,"Adams, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
444,"Adams, MA",61,10,0,3,1,0,0,0,0,1,1,0,0
15336,"Adams, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
28233,"Adamsburg, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
23604,"Adams County, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
8276,"Adams County, WA",0,0,0,0,0,0,0,0,0,0,0,0,0
27254,"Adams County, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
21909,"Adams County, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
25130,"Adams County, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
7353,"Adams County, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
5688,"Adams County, CO",9,2,57,2,0,0,0,0,0,1,1,0,0
13188,"Adams County, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
19449,"Adams County, MS",16,8,0,2,0,0,0,0,0,1,0,0,0
10895,"Adams County, ID",0,0,0,0,0,0,0,0,0,0,0,0,0
8579,"Adams County, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
12214,"Adams County, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
27881,"Adamstown, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
30460,"Adamsville, TN",0,0,0,0,0,0,0,0,0,0,0,0,0
874,"Adamsville, AL",0,19,0,1,0,0,0,0,0,0,0,0,0
25838,"Adamsville, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
24432,"Addie, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
7454,"Addieville, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
26887,"Addington, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
16419,"Addis, LA",0,0,0,0,0,0,0,0,0,0,0,0,0
32359,"Addison, WV",0,0,0,0,0,0,0,0,0,0,0,0,0
33477,"Addison, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
9322,"Addison, AL",0,0,0,0,0,0,0,0,0,0,0,0,0
24220,"Addison, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
3521,"Addison, VT",0,0,0,0,0,0,0,0,0,0,0,0,0
22789,"Addison, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
30813,"Addison, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
28125,"Addison, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
6015,"Addison, ME",0,0,0,0,0,0,0,0,0,0,0,0,0
7455,"Addison, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
16992,"Addison, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
13119,"Addison, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
26293,"Addison, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
21846,"Addison, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
3775,"Addison County, VT",0,0,0,0,0,0,0,0,0,0,0,0,0
25541,"Addyston, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
4992,"Adel, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
13505,"Adel, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
24135,"Adelaide, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
3080,"Adelanto, CA",60,8,306,5,3,0,2,0,0,2,15,0,0
11275,"Adeline, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
32706,"Adell, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
25938,"Adelphi, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
25641,"Adena, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
24655,"Adler, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
14638,"Admire, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
9999,"Adona, AR",0,0,0,0,0,0,0,0,0,0,0,0,0
31324,"Adrian, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
6521,"Adrian, OR",0,0,0,0,0,0,0,0,0,0,0,0,0
33239,"Adrian, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
4993,"Adrian, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
24502,"Adrian, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
16993,"Adrian, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
1087,"Adrian, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
19980,"Adrian, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
29489,"Adrian, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
12326,"Advance, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
20803,"Advance, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
24677,"Advance, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
14967,"Aetna, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
19004,"Aetna, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
11866,"Aetna, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
17786,"Aetna, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
1088,"Afton, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
33590,"Afton, WY",0,0,0,0,0,0,0,0,0,0,0,0,0
25005,"Afton, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
22385,"Afton, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
14117,"Afton, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
27089,"Afton, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
11549,"Afton, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
15453,"Afton, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
29278,"Afton, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
30161,"Agar, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
18656,"Agassiz, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
445,"Agawam, MA",80,5,0,7,0,0,1,0,0,2,0,0,0
16648,"Agawam Town, MA",0,0,0,0,0,0,0,0,0,0,0,0,0
18736,"Agder, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
29829,"Agency, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
14132,"Agency, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
15359,"Agency, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
20009,"Agency, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
14800,"Agenda, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
32803,"Agenda, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
24389,"Agnes, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
15267,"Agnes City, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
3081,"Agoura Hills, CA",0,0,0,0,0,0,0,0,0,0,0,0,0
14757,"Agra, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
26942,"Agra, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
18816,"Agram, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
31319,"Agua Dulce, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
5747,"Aguilar, CO",0,0,0,0,0,0,0,0,0,0,0,0,0
16977,"Ahmeek, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
33137,"Ahnapee, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
4035,"Ahoskie, NC",0,0,0,0,0,0,0,0,0,0,0,0,0
2071,"Ahuimanu, HI",0,0,0,0,0,0,0,0,0,0,0,0,0
26380,"Aid, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
2068,"Aiea, HI",0,0,0,0,0,0,0,0,0,0,0,0,0
2270,"Aiken, SC",0,0,0,0,0,0,0,0,0,0,0,0,0
2226,"Aiken County, SC",0,0,0,0,0,0,0,0,0,0,0,0,0
4994,"Ailey, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
2110,"Ainaloa, HI",0,0,0,0,0,0,0,0,0,0,0,0,0
14152,"Ainsworth, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
22020,"Ainsworth, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
33159,"Ainsworth, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
22738,"Airmont, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
20313,"Airport Drive, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
8277,"Airway Heights, WA",0,0,0,0,0,0,0,0,0,0,0,0,0
1089,"Aitkin, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
1944,"Aitkin County, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
33345,"Akan, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
29210,"Akaska, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
1090,"Akeley, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
9360,"Akhiok, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
9346,"Akiak, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
24678,"Akra, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
27882,"Akron, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
18212,"Akron, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
206,"Akron, OH",4,3,8,2,0,0,0,0,0,1,0,0,0
22424,"Akron, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
901,"Akron, AL",0,18,0,1,0,0,0,0,0,0,0,0,0
17207,"Akron, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
13966,"Akron, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
11999,"Akron, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
5748,"Akron, CO",0,0,0,0,0,0,0,0,0,0,0,0,0
12423,"Akron, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
9444,"Akutan, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
23161,"Alabama, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
159,Alabama,100,8,75,50,4,0,15,5,8,6,4,0,0
888,"Alabaster, AL",65,5,0,1,0,0,1,0,0,0,0,0,0
17624,"Alabaster, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
10469,"Alachua, FL",0,0,0,0,0,0,0,0,0,0,0,0,0
10416,"Alachua County, FL",0,0,0,0,0,0,0,0,0,0,0,0,0
17600,"Alaiedon, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
9409,"Alakanuk, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
23590,"Alamance, NC",0,0,0,0,0,0,0,0,0,0,0,0,0
4036,"Alamance, NC",7,6,7,2,0,0,1,0,2,0,0,0,0
3082,"Alameda, CA",0,0,0,0,0,0,0,0,0,0,0,0,0
174,"Alameda County, CA",24,4,359,10,5,0,2,3,1,0,2,0,0
8844,"Alamo, NV",0,0,0,0,0,0,0,0,0,0,0,0,0
30310,"Alamo, TN",0,0,0,0,0,0,0,0,0,0,0,0,0
4995,"Alamo, GA",39,8,2,2,0,0,0,0,0,1,0,0,0
12647,"Alamo, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
24001,"Alamo, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
17658,"Alamo, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
2790,"Alamo, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
22217,"Alamogordo, NM",0,0,0,0,0,0,0,0,0,0,0,0,0
2791,"Alamo Heights, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
5749,"Alamosa, CO",0,0,0,0,0,0,0,0,0,0,0,0,0
5689,"Alamosa County, CO",0,0,0,0,0,0,0,0,0,0,0,0,0
15244,"Alamota, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
19175,"Alango, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
16860,"Alanson, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
4996,"Alapaha, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
18168,"Alaska, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
235,Alaska,21,9,561,38,6,0,18,4,1,5,14,1,0
27512,"Alba, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
31556,"Alba, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
18589,"Alba, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
20293,"Alba, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
11687,"Alba, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
33322,"Alban, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
29537,"Alban, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
15479,"Albano, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
32502,"Albany, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
4997,"Albany, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
12387,"Albany, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
31414,"Albany, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
20212,"Albany, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
15731,"Albany, KY",0,0,0,0,0,0,0,0,0,0,0,0,0
28422,"Albany, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
25249,"Albany, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
7456,"Albany, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
1091,"Albany, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
21807,"Albany, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
3522,"Albany, VT",0,0,0,0,0,0,0,0,0,0,0,0,0
3083,"Albany, CA",0,0,0,0,0,0,0,0,0,0,0,0,0
16284,"Albany, LA",0,0,0,0,0,0,0,0,0,0,0,0,0
6522,"Albany, OR",0,0,0,0,0,0,0,0,0,0,0,0,0
720,"Albany, NY",163,11,195,17,7,0,9,0,2,3,10,0,0
3800,"Albany, NH",0,0,0,0,0,0,0,0,0,0,0,0,0
22268,"Albany County, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
33520,"Albany County, WY",0,0,0,0,0,0,0,0,0,0,0,0,0
30068,"Albee, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
17957,"Albee, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
4037,"Albemarle, NC",0,0,0,0,0,0,0,0,0,0,0,0,0
440,"Albemarle County, VA",0,0,0,0,0,0,0,0,0,0,0,0,0
7457,"Albers, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
14355,"Albert, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
17847,"Albert, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
24062,"Albert, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
1092,"Alberta, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
31887,"Alberta, VA",0,0,0,0,0,0,0,0,0,0,0,0,0
13362,"Albert City, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
24289,"Albertha, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
1093,"Albert Lea, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
21202,"Alberton, MT",0,0,0,0,0,0,0,0,0,0,0,0,0
736,"Albertville, AL",80,8,47,3,1,0,1,0,0,0,2,0,0
1094,"Albertville, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
13917,"Albia, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
33586,"Albin, WY",0,0,0,0,0,0,0,0,0,0,0,0,0
18242,"Albin, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
13879,"Albion, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
8278,"Albion, WA",0,0,0,0,0,0,0,0,0,0,0,0,0
22691,"Albion, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
24290,"Albion, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
12670,"Albion, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
27766,"Albion, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
19417,"Albion, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
27149,"Albion, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
10763,"Albion, ID",0,0,0,0,0,0,0,0,0,0,0,0,0
6016,"Albion, ME",0,0,0,0,0,0,0,0,0,0,0,0,0
22009,"Albion, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
7458,"Albion, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
14978,"Albion, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
16810,"Albion, MI",56,11,67,1,1,0,0,2,0,0,4,0,0
32953,"Albion, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
19176,"Alborn, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
32307,"Albright, WV",0,0,0,0,0,0,0,0,0,0,0,0,0
343,"Albuquerque, NM",102,6,70,13,5,0,7,4,0,2,6,0,0
3523,"Alburgh, VT",0,0,0,0,0,0,0,0,0,0,0,0,0
13814,"Alburnett, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
27919,"Alburtis, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
29205,"Alcester, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
30272,"Alcoa, TN",0,0,0,0,0,0,0,0,0,0,0,0,0
17273,"Alcona, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
16664,"Alcona County, MI",0,0,0,0,0,0,0,0,0,0,0,0,0
19450,"Alcorn County, MS",0,0,0,0,0,0,0,0,0,0,0,0,0
21356,"Alda, NE",0,0,0,0,0,0,0,0,0,0,0,0,0
27735,"Aldan, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
29564,"Alden, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
14808,"Alden, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
11884,"Alden, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
33309,"Alden, WI",0,0,0,0,0,0,0,0,0,0,0,0,0
22425,"Alden, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
1095,"Alden, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
13665,"Alden, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
27115,"Alderson, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
32181,"Alderson, WV",0,0,0,0,0,0,0,0,0,0,0,0,0
4998,"Aldora, GA",0,0,0,0,0,0,0,0,0,0,0,0,0
1096,"Aldrich, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
20585,"Aldrich, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
31345,"Aledo, TX",0,0,0,0,0,0,0,0,0,0,0,0,0
7459,"Aledo, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
9470,"Aleknagik, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
28330,"Aleppo, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
9336,"Aleutians East County, AK",0,0,0,0,0,0,0,0,0,0,0,0,0
24575,"Alex, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
26831,"Alex, OK",0,0,0,0,0,0,0,0,0,0,0,0,0
10041,"Alexander, AR",0,0,0,0,0,0,0,0,0,0,0,0,0
22454,"Alexander, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
13606,"Alexander, IA",0,0,0,0,0,0,0,0,0,0,0,0,0
14828,"Alexander, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
6017,"Alexander, ME",0,0,0,0,0,0,0,0,0,0,0,0,0
23825,"Alexander, ND",0,0,0,0,0,0,0,0,0,0,0,0,0
26173,"Alexander, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
15440,"Alexander-Belle Prairie, KS",0,0,0,0,0,0,0,0,0,0,0,0,0
744,"Alexander City, AL",206,14,17,2,0,0,1,0,0,1,1,1,0
7354,"Alexander County, IL",0,0,0,0,0,0,0,0,0,0,0,0,0
4583,"Alexander, NC",0,0,0,0,0,0,0,0,0,0,0,0,0
22097,"Alexandria, NJ",0,0,0,0,0,0,0,0,0,0,0,0,0
30083,"Alexandria, SD",0,0,0,0,0,0,0,0,0,0,0,0,0
32052,"Alexandria, VA",55,4,6,1,0,0,0,0,1,0,0,0,0
16318,"Alexandria, LA",168,10,101,5,1,0,1,0,0,7,1,0,0
20102,"Alexandria, MO",0,0,0,0,0,0,0,0,0,0,0,0,0
1097,"Alexandria, MN",0,0,0,0,0,0,0,0,0,0,0,0,0
25692,"Alexandria, OH",0,0,0,0,0,0,0,0,0,0,0,0,0
12599,"Alexandria, IN",0,0,0,0,0,0,0,0,0,0,0,0,0
15699,"Alexandria, KY",0,0,0,0,0,0,0,0,0,0,0,0,0
23201,"Alexandria, NY",0,0,0,0,0,0,0,0,0,0,0,0,0
30327,"Alexandria, TN",0,0,0,0,0,0,0,0,0,0,0,0,0
27815,"Alexandria, PA",0,0,0,0,0,0,0,0,0,0,0,0,0
